race_name,year,participants
Senam,2023;2024,Ibu-ibu
Sepeda Hias,2023;2024,Balita;TK;SD
Pecah Air,2023;2024,Ibu-ibu
Menyusun Gelas,2023,Balita
Kelereng,2023;2024,TK-SD
Pensil Botol,2023,TK-SD
Memindahkan Bola Warna,2023;2024,Balita
Makan Kerupuk,2023;2024,TK-SD;Pasangan
Estafet Karet,2023;2024,TK-SD;SD;Remaja
Joget Balon,2023;2024,Bapak-bapak
Estafet Air,2023,Bapak-bapak;Ibu-ibu
Giring Balon Terong,2023,Bapak-bapak
Jalan Sehat,2023;2024,Bapak-bapak;Ibu-ibu
Merias Mata Tertutup & Fashion Show,2024,Bapak-bapak;Ibu-ibu
Estafet Make Up,2024,Remaja
Cosplay,2024,Remaja
Cerdas Cermat,2024,Remaja
Tarik Tambang,2024,Bapak-bapak;Ibu-ibu
Bulu Tangkis,2024,Bapak-bapak;Ibu-ibu
Merangkak Bayi,2024,Balita
Mewarnai,2024,TK;SD
Tangkap Belut,2024,Ibu-ibu;Remaja
Estafet Adonan,2024,Ibu-ibu;Remaja
Jaga Lilin,2024,Remaja
